783 451 593
88 404 812
190 968 27
287 903 722
130 286 694
876 306 394
712 764 988
46 58 720
134 450 725
529 150 967
435 563 606
832 728 576
863 957 669
502 484 250
510 470 405
731 35 205
22 705 751
477 757 453
18 302 167
305 456 777
159 912 8
92 819 690
520 919 914
136 881 941
301 130 574
719 48 644
573 340 686
1 377 263
33 452 732
690 208 763
855 766 77
918 434 760
119 136 467
457 722 562
942 124 821
213 690 49
682 580 261
264 651 482
402 414 841
61 266 833
370 616 998
289 47 51
44 861 350
140 439 537
304 187 254
689 947 111
595 695 446
587 480 211
624 237 798
311 933 94
291 562 904
499 150 14
962 6 465
424 225 523
440 695 480
251 660 144
77 412 770
983 675 650
271 123 788
500 272 182
407 499 313
998 986 804
824 696 915
791 214 980
271 222 136
938 657 217
350 123 994
282 831 378
205 83 700
126 768 970
769 944 969
974 881 781
497 59 330
817 575 959
548 974 114
887 577 51
286 157 343
610 7 939
736 314 859
62 147 662
621 378 72
343 261 56
978 108 711
27 550 655
86 838 261
122 863 818
398 623 971
335 277 776
973 649 443
42 462 347
275 641 308
981 773 75
392 753 700
795 653 449
176 183 15
680 224 877
509 865 531
680 750 429
554 873 605
700 563 285
168 870 856
460 204 899
24 936 229
737 960 921
247 288 224
55 422 415
940 201 999
952 591 124
687 694 660
705 501 533
498 762 39
557 47 531
992 727 809
347 825 718
787 709 330
914 683 516
51 179 181
407 6 503
220 628 125
11 259 619
933 343 969
538 2 703
818 895 931
704 357 276
513 121 296
470 81 172
463 814 861
536 133 375
569 646 678
515 833 520
39 833 552
226 848 279
964 50 374
510 707 863
676 86 287
678 834 338
956 900 579
420 38 555
390 290 166
926 364 468
517 193 12
157 540 300
973 89 461
706 404 615
331 15 993
230 406 864
20 434 863
545 964 887
606 245 340
480 182 552
344 727 459
317 711 530
567 956 103
63 91 876
426 354 644
251 352 514
401 943 547
542 858 942
793 498 799
45 862 41
431 238 683
648 139 808
611 237 563
456 715 691
172 259 877
989 882 862
793 494 755
904 616 829
316 744 985
434 192 680
775 582 813
824 977 453
501 876 927
431 246 222
598 774 117
883 255 725
49 753 612
194 492 318
76 520 381
666 33 635
318 97 428
901 15 748
29 439 70
656 894 930
928 622 795
919 651 130
220 171 718
725 731 909
325 653 36
683 854 143
279 550 885
248 640 244
775 604 141
703 904 518
46 567 688
778 82 70
747 891 875
831 844 548
544 618 47
800 14 295
460 919 915
424 781 911
904 456 236
554 95 740
901 899 466
642 708 726
372 77 222
817 93 729
111 711 1
185 139 881
402 366 26
9 859 849
603 896 918
502 490 715
815 317 931
935 71 298
766 354 141
788 596 479
382 845 90
722 233 992
616 749 494
664 126 395
582 544 713
837 64 100
463 402 130
193 649 345
816 676 748
842 109 212
951 759 462
430 977 907
807 66 483
159 690 517
651 317 880
69 726 427
537 927 978
567 610 259
623 600 986
290 52 834
983 796 526
890 77 93
551 292 359
113 379 466
49 178 786
847 871 46
139 614 154
303 588 885
360 146 637
171 699 745
4 347 335
516 63 414
238 261 427
249 381 225
226 103 30
12 406 556
705 772 83
682 840 95
251 441 480
9 450 354
187 571 793
881 435 90
670 277 973
338 594 916
968 825 890
601 570 176
668 35 647
24 874 585
37 827 181
650 930 62
687 698 443
407 602 884
496 619 929
547 273 647
801 463 879
998 642 498
701 611 261
353 895 992
911 202 963
956 342 433
382 344 77
913 246 784
218 862 837
699 438 125
502 989 920
937 500 727
106 627 396
523 603 764
293 199 224
897 322 917
104 603 690
68 215 208
563 376 930
324 51 37
790 548 362
161 268 4
683 982 718
950 576 928
697 26 294
941 129 752
923 118 871
915 339 222
195 640 867
988 441 25
555 47 980
533 536 370
605 492 224
540 848 454
687 194 14
994 202 957
278 208 336
941 320 624
275 654 918
993 450 209
865 541 226
687 630 719
422 106 587
159 117 615
467 703 300
490 240 724
224 231 248
955 20 366
52 543 690
599 68 388
348 615 232
839 728 979
812 686 661
134 336 802
982 903 519
774 268 694
97 137 470
596 115 648
670 68 263
455 725 517
404 97 814
376 549 642
450 656 523
847 181 463
458 522 367
837 665 307
991 94 864
760 206 124
901 921 14
71 8 704
177 432 838
34 472 847
280 644 492
884 792 548
844 277 785
423 822 819
749 109 719
465 764 133
780 654 747
521 110 148
675 882 336
732 146 313
597 644 634
858 83 876
799 343 728
655 339 488
537 25 397
513 348 699
411 303 273
40 559 530
623 892 249
653 546 298
427 635 122
388 282 204
261 34 805
393 764 661
161 641 538
597 563 598
846 858 82
381 408 2
476 443 300
807 970 175
73 189 315
987 510 759
458 512 586
252 386 997
574 803 377
333 554 897
287 397 751
629 242 65
37 426 702
93 716 908
915 348 906
86 144 974
173 824 394
511 212 696
757 575 206
962 469 880
969 414 657
583 234 111
903 734 719
752 455 513
445 76 327
986 345 31
336 38 483
941 720 657
273 283 545
66 888 726
545 10 843
193 941 126
393 173 990
421 819 282
190 650 49
998 568 27
569 984 256
220 474 301
996 905 863
661 467 444
441 306 411
861 261 375
631 40 74
924 749 375
691 571 175
843 906 59
990 205 148
182 220 903
440 936 267
927 178 9
560 56 6
9 178 875
542 799 987
473 384 526
710 401 356
750 724 802
520 82 668
88 473 683
801 116 748
149 292 112
974 556 651
309 126 49
687 259 320
355 819 549
490 622 33
288 508 885
16 139 328
887 65 224
726 643 813
928 650 966
124 268 142
884 38 288
395 198 539
418 832 540
705 930 959
947 103 447
141 551 652
225 817 660
329 122 279
527 948 968
65 16 189
688 767 21
659 783 476
904 233 57
330 676 804
685 938 99
669 709 507
138 16 994
45 367 117
968 433 850
608 455 536
633 297 988
894 156 946
555 931 603
243 910 382
200 180 404
107 825 369
228 344 287
628 329 396
881 912 859
642 361 515
243 300 334
149 34 270
911 11 475
465 195 972
510 328 353
262 872 635
12 948 585
309 276 305
980 618 552
530 558 475
437 569 553
101 790 482
203 1 871
957 961 143
646 81 156
791 819 540
389 321 148
428 515 755
824 239 816
941 867 856
10 204 565
703 634 401
703 809 483
382 515 322
886 952 132
928 681 238
379 885 925
932 262 811
815 145 127
439 512 914
257 837 990
979 989 600
76 142 64
290 36 793
844 219 395
639 828 892
533 326 746
792 34 746
426 5 921
925 745 456
892 609 641
262 23 212
796 220 890
223 953 30
941 207 431
176 898 897
560 972 345
283 648 911
980 434 176
332 174 39
945 849 643
501 974 116
226 998 215
100 615 620
